1,2025-09-04,dal,phi,202509040phi
1,2025-09-05,kan,sdg,202509050sdg
1,2025-09-07,tam,atl,202509070atl
1,2025-09-07,car,jax,202509070jax
1,2025-09-07,cin,cle,202509070cle
1,2025-09-07,mia,clt,202509070clt
1,2025-09-07,crd,nor,202509070nor
1,2025-09-07,rai,nwe,202509070nwe
1,2025-09-07,nyg,was,202509070was
1,2025-09-07,pit,nyj,202509070nyj
1,2025-09-07,oti,den,202509070den
1,2025-09-07,sfo,sea,202509070sea
1,2025-09-07,det,gnb,202509070gnb
1,2025-09-07,htx,ram,202509070ram
1,2025-09-07,rav,buf,202509070buf
1,2025-09-08,min,chi,202509080chi
2,2025-09-11,was,gnb,202509110gnb
2,2025-09-14,buf,nyj,202509140nyj
2,2025-09-14,chi,det,202509140det
2,2025-09-14,jax,cin,202509140cin
2,2025-09-14,cle,rav,202509140rav
2,2025-09-14,nyg,dal,202509140dal
2,2025-09-14,nwe,mia,202509140mia
2,2025-09-14,sfo,nor,202509140nor
2,2025-09-14,ram,oti,202509140oti
2,2025-09-14,sea,pit,202509140pit
2,2025-09-14,car,crd,202509140crd
2,2025-09-14,den,clt,202509140clt
2,2025-09-14,phi,kan,202509140kan
2,2025-09-14,atl,min,202509140min
2,2025-09-15,tam,htx,202509150htx
2,2025-09-15,sdg,rai,202509150rai
3,2025-09-18,mia,buf,202509180buf
3,2025-09-21,atl,car,202509210car
3,2025-09-21,cin,min,202509210min
3,2025-09-21,gnb,cle,202509210cle
3,2025-09-21,clt,oti,202509210oti
3,2025-09-21,htx,jax,202509210jax
3,2025-09-21,pit,nwe,202509210nwe
3,2025-09-21,nyj,tam,202509210tam
3,2025-09-21,ram,phi,202509210phi
3,2025-09-21,rai,was,202509210was
3,2025-09-21,den,sdg,202509210sdg
3,2025-09-21,nor,sea,202509210sea
3,2025-09-21,dal,chi,202509210chi
3,2025-09-21,crd,sfo,202509210sfo
3,2025-09-21,kan,nyg,202509210nyg
3,2025-09-22,det,rav,202509220rav
4,2025-09-25,sea,crd,202509250crd
4,2025-09-28,min,pit,202509280pit
4,2025-09-28,was,atl,202509280atl
4,2025-09-28,nor,buf,202509280buf
4,2025-09-28,car,nwe,202509280nwe
4,2025-09-28,cle,det,202509280det
4,2025-09-28,oti,htx,202509280htx
4,2025-09-28,sdg,nyg,202509280nyg
4,2025-09-28,phi,tam,202509280tam
4,2025-09-28,clt,ram,202509280ram
4,2025-09-28,jax,sfo,202509280sfo
4,2025-09-28,chi,rai,202509280rai
4,2025-09-28,rav,kan,202509280kan
4,2025-09-28,gnb,dal,202509280dal
4,2025-09-29,nyj,mia,202509290mia
4,2025-09-29,cin,den,202509290den
5,2025-10-02,sfo,ram,202510020ram
5,2025-10-05,min,cle,202510050cle
5,2025-10-05,mia,car,202510050car
5,2025-10-05,rai,clt,202510050clt
5,2025-10-05,dal,nyj,202510050nyj
5,2025-10-05,den,phi,202510050phi
5,2025-10-05,htx,rav,202510050rav
5,2025-10-05,nyg,nor,202510050nor
5,2025-10-05,oti,crd,202510050crd
5,2025-10-05,tam,sea,202510050sea
